Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9320960,4645389.714285715,1376256,260141824,0.005262565402743856,0.9947374345972562,16455552,852562400,43543711.578643575,0.9921764466552755,0.08363475135929807,15.808757068738867,15.892391820098165
fft.c,327680,1,16,225280,225280,225280.0,0,9314304,4709868.0,28835840,602863104,0.0456480737761056,0.9543519262238944,16455552,852562400,43543711.578643575,0.9921764466552755,1.7523471713376737,36.635848131986094,38.38819530332377
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9320960,4645389.714285715,1376256,260141824,0.005262565402743856,0.9947374345972562,16455552,852562400,43543711.578643575,0.9921764466552755,0.08363475135929807,15.808757068738867,15.892391820098165
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6940416,3576155.4285714286,29360128,50066176,0.3696524516613539,0.6303475483386461,16455552,852562400,43543711.578643575,0.9921764466552755,1.7842080289983586,3.042509664823155,4.8267176938215135
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6940416,3576155.4285714286,29360128,50066176,0.3696524516613539,0.6303475483386461,16455552,852562400,43543711.578643575,0.9921764466552755,1.7842080289983586,3.042509664823155,4.8267176938215135
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6940416,3576155.4285714286,29360128,50066176,0.3696524516613539,0.6303475483386461,16455552,852562400,43543711.578643575,0.9921764466552755,1.7842080289983586,3.042509664823155,4.8267176938215135
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6940416,3576155.4285714286,29360128,50066176,0.3696524516613539,0.6303475483386461,16455552,852562400,43543711.578643575,0.9921764466552755,1.7842080289983586,3.042509664823155,4.8267176938215135
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6940416,3576155.4285714286,29360128,50066176,0.3696524516613539,0.6303475483386461,16455552,852562400,43543711.578643575,0.9921764466552755,1.7842080289983586,3.042509664823155,4.8267176938215135
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,6940416,3576155.4285714286,29360128,50066176,0.3696524516613539,0.6303475483386461,16455552,852562400,43543711.578643575,0.9921764466552755,1.7842080289983586,3.042509664823155,4.8267176938215135
fft.c,327680,1,16,225280,225280,225280.0,0,9314304,4709868.0,28835840,602863104,0.0456480737761056,0.9543519262238944,16455552,852562400,43543711.578643575,0.9921764466552755,1.7523471713376737,36.635848131986094,38.38819530332377
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9320960,4645389.714285715,1376256,260141824,0.005262565402743856,0.9947374345972562,16455552,852562400,43543711.578643575,0.9921764466552755,0.08363475135929807,15.808757068738867,15.892391820098165
fft.c,327680,1,16,225280,225280,225280.0,0,9314304,4709868.0,28835840,602863104,0.0456480737761056,0.9543519262238944,16455552,852562400,43543711.578643575,0.9921764466552755,1.7523471713376737,36.635848131986094,38.38819530332377
dtw.cpp,819200,1,16,24576,24576,24576.0,0,9320960,4645389.714285715,1376256,260141824,0.005262565402743856,0.9947374345972562,16455552,852562400,43543711.578643575,0.9921764466552755,0.08363475135929807,15.808757068738867,15.892391820098165
relu+histogram.c,204800,4,1,262144,458752,450455.85454545455,20480,9390592,5295723.054545455,74325216,873794304,0.0783922432057933,0.9216077567942067,16455552,852562400,43543711.578643575,0.9921764466552755,4.516725783492404,53.10027302639255,57.616998809884954
relu+histogram.c,204800,4,1,262144,458752,450455.85454545455,20480,9390592,5295723.054545455,74325216,873794304,0.0783922432057933,0.9216077567942067,16455552,852562400,43543711.578643575,0.9921764466552755,4.516725783492404,53.10027302639255,57.616998809884954
relu+histogram.c,204800,4,1,262144,458752,450455.85454545455,20480,9390592,5295723.054545455,74325216,873794304,0.0783922432057933,0.9216077567942067,16455552,852562400,43543711.578643575,0.9921764466552755,4.516725783492404,53.10027302639255,57.616998809884954
relu+histogram.c,204800,4,1,262144,458752,450455.85454545455,20480,9390592,5295723.054545455,74325216,873794304,0.0783922432057933,0.9216077567942067,16455552,852562400,43543711.578643575,0.9921764466552755,4.516725783492404,53.10027302639255,57.616998809884954
mvt.c,204800,4,1,20480,36864,36367.51515151515,0,9533184,5420025.793939394,6000640,894304256,0.006665119812921688,0.9933348801870783,16455552,852562400,43543711.578643575,0.9921764466552755,0.36465747244455854,54.3466579547134,54.711315427157956
mvt.c,204800,4,1,20480,36864,36367.51515151515,0,9533184,5420025.793939394,6000640,894304256,0.006665119812921688,0.9933348801870783,16455552,852562400,43543711.578643575,0.9921764466552755,0.36465747244455854,54.3466579547134,54.711315427157956
mvt.c,204800,4,1,20480,36864,36367.51515151515,0,9533184,5420025.793939394,6000640,894304256,0.006665119812921688,0.9933348801870783,16455552,852562400,43543711.578643575,0.9921764466552755,0.36465747244455854,54.3466579547134,54.711315427157956
mvt.c,204800,4,1,20480,36864,36367.51515151515,0,9533184,5420025.793939394,6000640,894304256,0.006665119812921688,0.9933348801870783,16455552,852562400,43543711.578643575,0.9921764466552755,0.36465747244455854,54.3466579547134,54.711315427157956
