Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,23988992,12088082.285714285,29360128,169233152,0.14784049087662987,0.8521595091233701,36521216,860053760,133175115.06204906,0.9946393898823084,0.8039197818604945,4.633831250306671,5.437751032167165
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,23988992,12088082.285714285,29360128,169233152,0.14784049087662987,0.8521595091233701,36521216,860053760,133175115.06204906,0.9946393898823084,0.8039197818604945,4.633831250306671,5.437751032167165
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,23988992,12088082.285714285,29360128,169233152,0.14784049087662987,0.8521595091233701,36521216,860053760,133175115.06204906,0.9946393898823084,0.8039197818604945,4.633831250306671,5.437751032167165
relu+histogram.c,204800,4,1,458752,458752,458752.0,237568,29508864,16030899.975757577,75694080,2645098496,0.02782059928702187,0.9721794007129781,36521216,860053760,133175115.06204906,0.9946393898823084,2.0726056876090873,72.42635338319512,74.49895907080422
relu+histogram.c,204800,4,1,458752,458752,458752.0,237568,29508864,16030899.975757577,75694080,2645098496,0.02782059928702187,0.9721794007129781,36521216,860053760,133175115.06204906,0.9946393898823084,2.0726056876090873,72.42635338319512,74.49895907080422
relu+histogram.c,204800,4,1,458752,458752,458752.0,237568,29508864,16030899.975757577,75694080,2645098496,0.02782059928702187,0.9721794007129781,36521216,860053760,133175115.06204906,0.9946393898823084,2.0726056876090873,72.42635338319512,74.49895907080422
relu+histogram.c,204800,4,1,458752,458752,458752.0,237568,29508864,16030899.975757577,75694080,2645098496,0.02782059928702187,0.9721794007129781,36521216,860053760,133175115.06204906,0.9946393898823084,2.0726056876090873,72.42635338319512,74.49895907080422
mvt.c,204800,4,1,36864,36864,36864.0,225280,29671680,16328299.054545455,6082560,2694169344,0.002252589838373835,0.9977474101616262,36521216,860053760,133175115.06204906,0.9946393898823084,0.16654867132573023,73.76997918141609,73.93652785274182
mvt.c,204800,4,1,36864,36864,36864.0,225280,29671680,16328299.054545455,6082560,2694169344,0.002252589838373835,0.9977474101616262,36521216,860053760,133175115.06204906,0.9946393898823084,0.16654867132573023,73.76997918141609,73.93652785274182
mvt.c,204800,4,1,36864,36864,36864.0,225280,29671680,16328299.054545455,6082560,2694169344,0.002252589838373835,0.9977474101616262,36521216,860053760,133175115.06204906,0.9946393898823084,0.16654867132573023,73.76997918141609,73.93652785274182
mvt.c,204800,4,1,36864,36864,36864.0,225280,29671680,16328299.054545455,6082560,2694169344,0.002252589838373835,0.9977474101616262,36521216,860053760,133175115.06204906,0.9946393898823084,0.16654867132573023,73.76997918141609,73.93652785274182
fft.c,327680,1,16,225280,225280,225280.0,0,29029120,13921354.0,28835840,1781933312,0.015924636206747132,0.9840753637932529,36521216,860053760,133175115.06204906,0.9946393898823084,0.7895640714701285,48.79173004535227,49.5812941168224
dtw.cpp,819200,1,16,24576,24576,24576.0,212992,29077760,13791254.857142856,1376256,772310272,0.00177882895745601,0.998221171042544,36521216,860053760,133175115.06204906,0.9946393898823084,0.03768373977471068,21.146893685029546,21.184577424804257
fft.c,327680,1,16,225280,225280,225280.0,0,29029120,13921354.0,28835840,1781933312,0.015924636206747132,0.9840753637932529,36521216,860053760,133175115.06204906,0.9946393898823084,0.7895640714701285,48.79173004535227,49.5812941168224
dtw.cpp,819200,1,16,24576,24576,24576.0,212992,29077760,13791254.857142856,1376256,772310272,0.00177882895745601,0.998221171042544,36521216,860053760,133175115.06204906,0.9946393898823084,0.03768373977471068,21.146893685029546,21.184577424804257
